@relation 'CarpenterFdaData'
@attribute 'time' numeric
@attribute 'status' numeric
@attribute 'hcomm' numeric
@attribute 'hfloor' numeric
@attribute 'scomm' numeric
@attribute 'sfloor' numeric
@attribute 'prespart' numeric
@attribute 'demhsmaj' numeric
@attribute 'demsnmaj' numeric
@attribute 'orderent' numeric
@attribute 'stafcder' numeric
@attribute 'prevgenx' numeric
@attribute 'lethal' numeric
@attribute 'deathrt1' numeric
@attribute 'hosp01' numeric
@attribute 'hospdisc' numeric
@attribute 'hhosleng' numeric
@attribute 'acutediz' numeric
@attribute 'orphdum' numeric
@attribute 'mandiz01' numeric
@attribute 'femdiz01' numeric
@attribute 'peddiz01' numeric
@attribute 'natreg' numeric
@attribute 'natregsq' numeric
@attribute 'wpnoavg3' numeric
@attribute 'vandavg3' numeric
@attribute 'condavg3' numeric
@data
37.4465789794922,1,-0.222000002861023,-0.0579999983310699,-0.0804999992251396,-0.00899999961256981,0,1,0,18,1043,115.680000305176,1,0.0995000004768372,1,75172,3,0,0,0,0,0,12,169,51.25,0.5,2
84.2958908081055,1,-0.222000002861023,-0.0579999983310699,-0.0804999992251396,-0.00899999961256981,0,1,0,3,1043,100,0,0,0,0,0,0,0,0,0,0,1,4,25.25,0.75,0
15.3863000869751,1,-0.222000002861023,-0.0579999983310699,-0.0804999992251396,-0.00899999961256981,0,1,0,2,1043,1.29999995231628,1,0.150000005960464,1,134882,3.03999996185303,0,0,1,0,0,9,100,4.25,0,0
46.1589088439941,1,-0.222000002861023,-0.0579999983310699,-0.0804999992251396,-0.00899999961256981,0,1,0,19,1043,115.680000305176,1,0.0995000004768372,1,75172,3,0,0,0,0,0,12,169,51.25,0.5,2
50.860279083252,1,-0.212999999523163,-0.0579999983310699,-0.0804999992251396,-0.00899999961256981,0,1,0,23,1029,115.680000305176,1,0.0995000004768372,1,75172,3,0,0,0,0,0,12,169,52,0.75,2
22.3561592102051,1,-0.226500004529953,-0.0549999997019768,-0.36149999499321,-0.0920000001788139,0,1,1,10,1163,445,0,0,1,93293,13.3000001907349,1,0,0,0,0,1,4,12.5,0,0.333333313465118
14.0054798126221,1,-0.226500004529953,-0.0549999997019768,-0.36149999499321,-0.0920000001788139,0,1,1,9,1163,445,0,0,1,93293,13.3000001907349,1,0,0,0,0,1,4,12.5,0,0.333333313465118
17.9178104400635,1,-0.264999985694885,-0.0549999997019768,-0.322499990463257,-0.0920000001788139,0,1,1,2,1237,0.720000028610229,1,0.0274999998509884,1,70313,33.9000015258789,0,1,0,0,1,0,1,0.75,0.25,1
28.7342491149902,1,-0.145999997854233,-0.0820000022649765,-0.35699999332428,-0.0920000001788139,1,1,1,7,1550,46.3300018310547,1,0.0203000009059906,1,599591,3.07999992370605,0,0,0,0,1,47,2304,94.5,5.5,1.66666698455811
2.33424711227417,1,0.1875,0.158999994397163,0.0489999987185001,-0.00499999988824129,1,0,0,14,1608,0.219999998807907,1,0.0579000003635883,1,123767,9.0600004196167,1,0,0,0,0,24,625,344.25,1.5,15
3.0246570110321,0,0.213499993085861,0.153999999165535,-0.010499999858439,0.114000000059605,1,0,0,23,1796,0.219999998807907,1,0.0579000003635883,1,123767,9.0600004196167,1,0,0,0,0,24,625,326.25,3,8.33333301544189
12.8876695632935,1,-0.226500004529953,-0.0549999997019768,-0.36149999499321,-0.0920000001788139,0,1,1,3,1163,0.109999999403954,1,0.0219000000506639,1,120817,7.96000003814697,0,1,0,0,0,56,3249,124,8.5,1.66666698455811
15.8794498443604,1,-0.212999999523163,-0.0579999983310699,-0.0804999992251396,-0.00899999961256981,0,1,0,2,1029,9.1899995803833,1,0,0,0,0,0,0,0,0,0,13,196,9.5,0,1
2.86027407646179,1,-0.179000005125999,-0.0570000000298023,-0.36149999499321,-0.0869999974966049,0,1,1,1,1053,20.6000003814697,0,0,1,24692,2.29999995231628,1,0,0,0,0,0,1,7,2.25,2
27.4849300384521,1,-0.256000012159348,-0.0769999995827675,-0.35699999332428,-0.108000002801418,0,1,1,3,1368,54.3199996948242,0,0,1,9666,3.59999990463257,1,0,0,0,0,0,1,2.25,0,0
6.96986293792725,1,-0.145999997854233,-0.0820000022649765,-0.35699999332428,-0.0920000001788139,1,1,1,2,1550,20.6000003814697,0,0,1,24692,2.29999995231628,1,0,0,0,0,0,1,7.75,3,0.333333313465118
21.1397304534912,1,0.1875,0.158999994397163,0.0489999987185001,-0.00499999988824129,1,0,0,2,1608,54.3199996948242,0,0,1,9666,3.59999990463257,1,0,0,0,0,0,1,0.25,0,0
10.9808197021484,1,0.1875,0.158999994397163,0.0489999987185001,-0.00499999988824129,1,0,0,1,1608,54.3199996948242,0,0,1,9666,3.59999990463257,1,0,0,0,0,0,1,0.25,0,0
14.0712299346924,1,0.213499993085861,0.153999999165535,-0.010499999858439,0.114000000059605,1,0,0,6,1673,9.1899995803833,1,0,0,0,0,0,0,0,0,0,13,196,21.75,1,0
12,1,0.1875,0.158999994397163,0.0489999987185001,-0.00499999988824129,1,0,0,5,1608,9.1899995803833,1,0,0,0,0,0,0,0,0,0,13,196,12.25,0.25,0
